"","Date","PosCount","NegCount","TrustCount","AngerCount","AnticipationCount","DisgustCount","FearCount","JoyCount","SadnessCount","SurpriseCount"
"105",2008-09-20,10,25,9,16,4,5,22,3,12,9
"106",2008-09-21,12,24,10,12,6,2,21,4,8,4
"107",2008-09-22,12,22,11,9,8,7,19,5,10,6
"108",2008-09-23,15,18,11,16,16,6,14,4,8,5
"109",2008-09-24,16,25,13,13,7,6,19,6,11,6
"110",2008-09-25,8,13,6,5,5,4,10,4,5,2
"111",2008-09-26,14,19,10,10,9,5,19,4,8,7
"112",2008-09-27,20,14,13,9,7,7,13,5,5,2
"113",2008-09-28,11,23,17,16,9,6,17,3,12,6
"114",2008-09-29,15,24,14,19,10,8,24,9,13,6
"115",2008-09-30,14,13,8,4,7,3,9,5,6,2
"116",2008-10-01,22,25,15,18,6,6,20,8,14,2
"117",2008-10-02,21,15,21,7,8,3,13,7,8,6
"118",2008-10-03,10,22,5,7,3,3,14,3,5,4
"119",2008-10-04,15,26,9,7,2,4,18,1,9,2
"120",2008-10-05,17,18,14,11,4,1,13,4,5,4
"121",2008-10-06,12,22,11,8,9,7,20,7,13,6
"122",2008-10-07,11,20,5,5,8,3,18,3,5,2
"123",2008-10-08,14,26,10,13,7,7,18,5,10,5
"124",2008-10-09,22,27,22,15,7,11,28,5,13,3
"125",2008-10-10,12,20,8,8,4,3,12,2,11,2
"126",2008-10-11,8,25,11,8,6,7,21,2,11,4
"127",2008-10-12,18,19,15,7,10,3,18,6,8,3
"128",2008-10-13,14,19,8,6,9,4,7,7,6,7
"129",2008-10-14,22,16,17,11,5,7,12,7,9,3
"130",2008-10-15,19,26,13,17,14,7,21,6,12,6
"131",2008-10-16,19,16,19,6,10,4,13,6,7,3
"132",2008-10-17,24,18,11,7,12,3,18,8,9,4
"133",2008-10-18,12,19,11,11,7,5,15,3,10,5
"134",2008-10-19,11,20,15,10,8,4,13,5,9,3
"135",2008-10-20,12,22,11,10,12,4,14,5,10,3
"136",2008-10-21,18,25,14,15,14,6,24,6,13,5
"137",2008-10-22,15,20,14,14,5,5,11,5,7,6
"138",2008-10-23,19,30,15,12,10,8,23,7,18,5
"139",2008-10-24,18,26,16,10,11,8,18,9,11,4
"140",2008-10-25,10,19,10,12,10,4,16,3,8,4
"141",2008-10-26,38,52,24,30,20,21,39,12,20,12
"142",2008-10-27,19,30,14,15,12,9,18,8,14,6
"143",2008-10-28,14,16,8,7,8,4,12,5,4,6
"144",2008-10-29,17,25,9,11,10,9,19,7,12,8
"145",2008-10-30,18,26,15,12,7,9,24,4,8,2
"146",2008-10-31,15,32,10,16,8,12,21,7,17,4
"147",2008-11-01,14,22,16,7,3,5,16,4,9,2
"148",2008-11-02,11,14,11,9,4,2,13,4,6,3
"149",2008-11-03,12,36,12,17,5,9,29,1,15,2
"150",2008-11-04,16,18,13,10,4,5,17,3,7,4
"151",2008-11-05,21,19,13,8,10,5,12,10,9,4
"152",2008-11-06,14,19,10,9,7,7,12,4,9,1
"153",2008-11-07,13,26,9,13,7,8,19,5,12,2
"154",2008-11-08,14,32,15,19,5,9,28,4,21,5
"155",2008-11-09,13,30,17,20,13,8,29,3,12,7
"156",2008-11-10,14,24,8,15,7,6,19,5,13,2
"157",2008-11-11,17,27,11,13,7,5,17,4,8,3
"158",2008-11-12,22,27,9,19,7,5,19,5,15,2
"159",2008-11-13,21,17,17,10,12,6,10,9,7,3
"160",2008-11-14,16,15,11,6,5,3,11,5,6,2
"161",2008-11-15,12,14,13,8,8,5,13,7,8,3
"162",2008-11-16,11,16,12,7,7,4,12,4,6,3
"163",2008-11-17,9,19,8,10,9,3,11,5,5,2
"164",2008-11-18,17,34,13,13,16,6,19,10,11,4
"165",2008-11-19,15,11,5,3,9,4,8,7,3,5
"166",2008-11-20,21,17,14,5,6,3,7,8,8,4
"167",2008-11-21,19,23,14,15,9,6,20,7,12,10
"168",2008-11-22,9,16,9,9,10,3,14,5,8,3
"169",2008-11-23,24,27,20,13,10,8,20,6,10,5
"170",2008-11-24,24,33,21,15,7,6,18,6,8,4
"171",2008-11-25,14,26,10,17,4,7,19,3,13,7
"172",2008-11-26,12,13,6,5,3,6,7,4,6,5
"173",2008-11-27,13,23,8,11,6,4,12,2,10,0
"174",2008-11-28,19,26,15,9,8,5,17,7,10,3
"175",2008-11-29,16,25,16,18,6,9,22,9,11,9
"176",2008-11-30,15,29,15,9,11,2,18,6,11,5
"177",2008-12-01,11,15,13,11,7,5,14,3,5,4
"178",2008-12-02,16,21,16,13,10,4,15,4,8,5
"179",2008-12-03,22,31,14,21,7,10,23,8,15,7
"180",2008-12-04,18,24,15,13,11,10,20,12,13,6
"181",2008-12-05,14,26,13,16,9,10,18,4,9,9
"182",2008-12-06,19,23,14,15,7,7,18,6,11,4
"183",2008-12-07,12,24,9,12,3,4,19,3,12,5
"184",2008-12-08,14,23,7,10,5,5,18,3,8,5
"185",2008-12-09,15,37,13,19,10,11,26,6,18,6
"186",2008-12-10,26,32,16,17,4,10,25,8,14,7
"187",2008-12-11,24,25,14,10,12,6,21,5,15,9
"188",2008-12-12,13,35,10,21,8,14,30,4,16,10
"189",2008-12-13,16,30,18,17,8,9,29,4,18,9
"190",2008-12-14,15,21,11,11,7,4,11,5,6,5
"191",2008-12-15,19,12,17,6,5,1,13,4,6,3
"192",2008-12-16,14,29,7,13,7,5,19,5,15,4
"193",2008-12-17,14,21,10,10,8,6,17,2,11,2
"194",2008-12-18,10,23,9,12,6,6,17,5,9,3
"195",2008-12-19,17,22,17,12,13,7,16,8,13,7
"196",2008-12-20,18,27,16,17,13,11,19,4,17,3
"197",2008-12-21,21,25,15,15,13,9,22,7,13,4
"198",2008-12-22,18,35,13,16,11,6,25,2,10,7
"199",2008-12-23,17,22,13,14,10,3,12,7,11,6
"200",2008-12-24,20,16,12,12,7,3,12,9,9,6
"201",2008-12-25,13,15,4,11,4,6,14,3,5,1
"202",2008-12-26,13,23,10,13,4,5,15,4,10,3
"203",2008-12-27,15,22,5,12,9,3,19,4,15,4
"204",2008-12-28,23,28,16,18,13,13,22,8,18,6
"205",2008-12-29,18,25,13,13,10,7,18,1,13,4
"206",2008-12-30,19,32,21,18,12,9,21,9,10,8
"207",2008-12-31,17,17,12,10,6,6,15,3,9,3
"208",2009-01-01,21,23,13,16,9,5,16,6,10,9
"209",2009-01-02,10,17,12,8,4,2,14,3,4,0
"210",2009-01-03,17,20,10,8,11,4,16,4,7,6
"211",2009-01-04,25,30,15,17,12,5,25,7,17,8
"212",2009-01-05,23,19,20,16,7,7,15,3,8,4
"213",2009-01-06,19,17,13,7,9,4,10,7,6,3
"214",2009-01-07,14,24,14,16,8,3,13,5,11,4
"215",2009-01-08,15,23,13,10,6,6,18,6,14,4
"216",2009-01-09,14,18,13,7,10,1,12,7,3,2
"217",2009-01-10,19,23,13,18,7,3,18,6,10,8
"218",2009-01-11,25,23,25,12,14,3,21,13,12,8
"219",2009-01-12,19,20,11,11,10,5,17,7,13,3
"220",2009-01-13,14,26,10,12,14,7,15,3,10,4
"221",2009-01-14,24,29,14,18,11,11,18,9,18,7
"222",2009-01-15,16,18,16,5,6,6,11,5,2,4
"223",2009-01-16,14,29,14,17,5,9,22,3,14,4
"224",2009-01-17,16,25,13,9,12,3,16,8,10,7
"225",2009-01-18,18,17,15,8,9,6,13,9,9,3
"226",2009-01-19,18,30,10,15,12,9,23,9,14,6
"227",2009-01-20,15,32,9,16,15,10,20,5,12,4
"228",2009-01-21,21,24,13,17,11,6,19,5,18,8
"229",2009-01-22,18,20,10,11,10,5,17,4,8,4
"230",2009-01-23,15,28,13,19,7,9,16,4,12,3
"231",2009-01-24,16,20,12,8,12,6,19,3,9,4
"232",2009-01-25,19,23,13,9,12,7,13,3,12,6
"233",2009-01-26,18,28,15,14,11,9,17,7,18,6
"234",2009-01-27,21,23,17,8,8,4,14,8,9,5
"235",2009-01-28,22,20,17,9,10,6,12,5,8,7
"236",2009-01-29,23,16,14,10,6,7,14,7,10,3
"237",2009-01-30,16,22,16,5,5,6,11,6,9,3
"238",2009-01-31,30,26,22,17,12,7,15,14,11,12
"239",2009-02-01,21,22,18,12,10,4,21,10,9,5
"240",2009-02-02,17,23,11,15,14,8,18,0,7,2
